               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087616,            0.023092,            0.057089,            0.096154,             0.21516,             0.10167,            0.039118,            0.031539,           0.0092327,            0.034943,            0.070577,           0.0032692,           0.0032692
                   1,            0.056942,            0.021397,            0.053157,             0.38511,             0.34457,             0.11859,            0.048249,            0.034463,           0.0060849,             0.03345,            0.040561,           0.0065862,           0.0065862
                   2,            0.051534,            0.018538,            0.050024,             0.36823,             0.44782,             0.12681,              0.0689,            0.029778,           0.0047889,            0.032189,            0.010528,           0.0098867,           0.0098867
                   3,            0.047199,            0.017248,            0.048875,             0.39995,             0.47945,             0.21542,             0.11368,            0.027361,           0.0049036,            0.031419,           0.0099258,           0.0099258,           0.0099258
                   4,            0.044619,            0.016078,            0.049053,             0.32693,             0.52973,             0.25599,             0.13923,            0.022448,           0.0044982,            0.029974,           0.0099258,           0.0099258,           0.0099258
                   5,            0.042307,            0.015796,            0.047338,              0.4053,             0.63385,             0.32338,             0.16282,            0.022604,           0.0045446,            0.028758,            0.009901,            0.009901,            0.009901
                   6,            0.040626,            0.015536,            0.045891,             0.24625,             0.58498,             0.26295,             0.14834,            0.020583,           0.0048801,             0.02953,           0.0098763,           0.0098763,           0.0098763
                   7,            0.038923,            0.014961,            0.043313,             0.38655,             0.47108,             0.27589,             0.10843,            0.029187,           0.0053202,            0.027166,           0.0098515,           0.0098515,           0.0098515
                   8,            0.038469,            0.014587,            0.044976,             0.31863,             0.71998,             0.42787,             0.24431,            0.021572,            0.004432,            0.025767,           0.0098268,           0.0098268,           0.0098268
                   9,             0.03753,            0.014608,             0.04201,             0.35235,             0.73847,             0.46312,             0.22885,            0.022799,           0.0044059,            0.025037,            0.009802,            0.009802,            0.009802
                  10,            0.035279,            0.014703,            0.040351,              0.3397,             0.72059,             0.45541,             0.26871,            0.019371,           0.0040442,            0.025637,           0.0097773,           0.0097773,           0.0097773
                  11,            0.035836,            0.014163,            0.041251,             0.36555,             0.59772,             0.45858,             0.25042,            0.020003,           0.0042907,            0.022964,           0.0097525,           0.0097525,           0.0097525
                  12,            0.034308,            0.014288,            0.040405,             0.35728,             0.76197,             0.49562,              0.2842,            0.020149,           0.0041643,            0.022685,           0.0097278,           0.0097278,           0.0097278
                  13,            0.032906,            0.014314,             0.03816,             0.37528,             0.58479,             0.38393,             0.21682,            0.021153,           0.0048821,            0.026272,            0.009703,            0.009703,            0.009703
                  14,            0.033795,            0.013918,            0.039679,             0.38791,              0.7356,             0.51824,             0.31919,            0.018549,           0.0040498,             0.02152,           0.0096783,           0.0096783,           0.0096783
                  15,            0.033612,            0.013644,            0.037286,             0.35659,              0.6715,             0.48361,             0.30066,            0.018586,           0.0041319,            0.023659,           0.0096535,           0.0096535,           0.0096535
                  16,            0.034816,            0.014445,            0.037783,             0.42428,             0.73508,             0.50186,             0.31973,            0.017879,           0.0041839,            0.022765,           0.0096288,           0.0096288,           0.0096288
                  17,            0.032181,            0.014209,            0.037997,              0.3853,               0.636,             0.48658,             0.28745,            0.017774,           0.0044062,            0.022878,            0.009604,            0.009604,            0.009604
                  18,            0.033623,               0.014,            0.037966,             0.40335,             0.78497,             0.49204,             0.31143,            0.018632,           0.0039591,             0.02113,           0.0095793,           0.0095793,           0.0095793
                  19,            0.033566,            0.013934,            0.036624,             0.39067,             0.76637,             0.51167,             0.32123,            0.018339,           0.0042746,            0.022311,           0.0095545,           0.0095545,           0.0095545
                  20,            0.034082,            0.013578,            0.036484,             0.41753,             0.69363,             0.55912,             0.36034,             0.01807,           0.0042178,            0.020778,           0.0095298,           0.0095298,           0.0095298
                  21,            0.033249,            0.013494,            0.036595,             0.42131,             0.76461,             0.55336,             0.34646,            0.018092,           0.0039169,              0.0213,            0.009505,            0.009505,            0.009505
                  22,            0.031479,            0.013821,             0.03575,             0.44967,             0.81823,             0.59714,             0.37972,            0.017209,           0.0041481,            0.022157,           0.0094803,           0.0094803,           0.0094803
                  23,            0.031759,            0.013662,            0.036691,             0.37789,             0.65084,             0.52395,             0.34676,            0.018481,           0.0042515,            0.023815,           0.0094555,           0.0094555,           0.0094555
                  24,            0.033082,            0.013397,            0.034164,             0.47003,             0.78698,             0.60279,             0.38681,            0.016326,           0.0038526,            0.019672,           0.0094307,           0.0094307,           0.0094307
                  25,            0.032035,            0.013867,            0.036669,             0.47898,             0.70282,             0.58931,              0.3837,            0.016639,           0.0037394,            0.021204,            0.009406,            0.009406,            0.009406
                  26,            0.032299,            0.013839,            0.035676,             0.43762,             0.74459,             0.59072,             0.38316,            0.017481,           0.0037458,            0.021242,           0.0093813,           0.0093813,           0.0093813
                  27,            0.031018,            0.013261,            0.034589,              0.4684,             0.78041,             0.61041,             0.40507,            0.016575,           0.0037516,            0.020437,           0.0093565,           0.0093565,           0.0093565
                  28,            0.031618,            0.013712,            0.035563,             0.44158,             0.70612,             0.53048,             0.34659,            0.017774,           0.0044687,            0.021657,           0.0093317,           0.0093317,           0.0093317
                  29,            0.031559,            0.013306,            0.033745,             0.44449,             0.77113,             0.56815,             0.38363,              0.0168,           0.0037173,            0.020987,            0.009307,            0.009307,            0.009307
                  30,            0.030984,            0.013704,            0.034621,             0.49778,             0.70329,             0.59329,             0.38513,            0.016418,           0.0039868,            0.020395,           0.0092823,           0.0092823,           0.0092823
                  31,            0.029893,            0.012858,            0.033771,              0.4346,             0.83043,             0.60885,             0.39092,            0.016457,           0.0038168,            0.019023,           0.0092575,           0.0092575,           0.0092575
                  32,            0.030535,            0.013131,            0.033171,             0.50731,             0.74465,             0.59567,              0.3888,            0.016487,           0.0038297,            0.019557,           0.0092327,           0.0092327,           0.0092327
                  33,             0.03014,             0.01381,            0.034236,             0.53842,             0.70049,             0.63957,             0.42451,               0.016,           0.0038764,            0.019603,            0.009208,            0.009208,            0.009208
                  34,            0.029398,            0.013276,            0.032584,             0.49706,              0.7153,             0.63571,             0.42414,            0.016307,           0.0038412,            0.019317,           0.0091833,           0.0091833,           0.0091833
                  35,            0.030312,            0.013777,            0.033343,             0.55009,             0.72794,             0.65161,             0.43469,            0.015977,           0.0040082,            0.018625,           0.0091585,           0.0091585,           0.0091585
